id,label
6323,1
11581,0.00351324
11715,1
4177,0.999999
6210,1.25E-11
3698,7.96E-10
6967,0.999971
5403,1
6754,1
6730,5.40E-14
7452,1.40E-14
2187,1.31E-12
12078,2.11E-12
7206,1
7761,6.47E-11
8970,1
7466,2.09E-06
8827,1
11579,1
11058,0.000201314
12132,4.20E-06
1110,4.65E-08
10012,8.40E-08
4378,1
184,0.00935964
3928,0.999998
1292,0.568047
6954,4.42E-11
2600,1
8068,0.999982
9761,0.940495
1603,0.000864574
718,1
11647,1
4523,0.0185362
11878,0.999999
3766,6.90E-08
2630,1.22E-17
902,0.0162196
4057,0.999383
3324,3.72E-09
11166,7.29E-11
3184,1
11090,1
7844,1.43E-05
10851,1
124,2.43E-06
3029,0.999996
9829,0.0159031
6735,1
2659,0.999998
9934,1
8153,1
6125,1
2855,0.999977
6018,0.000593018
2062,1
743,0.922159
3540,9.81E-09
2857,1.27E-10
3415,9.63E-08
11727,8.74E-16
7479,1
8027,0.999995
4213,5.49E-06
10124,1
3485,1
1161,1.13E-07
3832,1.68E-10
10497,1
3762,7.36E-12
8793,1
10573,9.91E-12
495,0.999991
9279,1
10469,4.68E-06
4437,0.989117
6804,1
1604,9.67E-13
5913,0.0299616
12035,0.989488
4215,1
9801,1.49E-16
232,0.478354
1412,2.91E-06
5532,1
489,0.996103
11719,2.39E-18
8952,1
9527,9.32E-08
11487,1
11508,3.43E-17
1612,1
3790,7.81E-10
9568,0.74645
12360,0.932864
4811,0.000904779
800,1
275,0.000277034
7298,1
2259,0.999996
7208,9.25E-13
2597,1.43E-08
11420,0.999909
8452,0.0525858
11816,1
4471,0.710322
1741,0.00701629
4146,7.37E-11
4520,1
8750,3.14E-10
9508,1.03E-05
12481,4.44E-05
4153,2.22E-18
3723,7.04E-09
10663,0.999999
10517,1
5684,0.997393
459,1
10687,8.99E-10
1040,1
8688,0.873984
10553,4.17E-06
7751,0.999857
12109,0.999968
3601,1
1662,0.998666
12436,0.99993
4956,3.08E-06
688,1
3193,1.46E-10
3329,1
2388,0.999914
8869,0.999964
1902,0.994827
4047,1.73E-15
2256,7.98E-05
7077,1
990,1.99E-11
2914,2.22E-06
8227,1
3386,2.00E-10
9808,0.999784
2358,1
777,0.999895
3919,1
7338,1
9643,1
6963,1
9749,1
4806,1.76E-07
7151,0.0274025
7606,1
6145,6.64E-11
10794,0.99997
2568,1
12070,8.04E-14
5212,0.990032
6042,0.999902
5950,2.46E-06
463,1
6000,1
7671,1
2978,1.67E-07
3623,1
3111,9.28E-05
6839,1
2333,1
7832,1.13E-05
1386,1
4020,0.0924055
7389,7.43E-05
10016,0.0033731
3506,0.99987
5633,0.998868
604,1.26E-05
6736,4.34E-18
11968,1.37E-12
6975,1.26E-08
7762,2.51E-10
2639,1.73E-22
